csv,column
AQUACULTURE_QUANTITY.csv,COUNTRY.UN_CODE
AQUACULTURE_QUANTITY.csv,SPECIES.ALPHA_3_CODE
AQUACULTURE_QUANTITY.csv,AREA.CODE
AQUACULTURE_QUANTITY.csv,ENVIRONMENT.ALPHA_2_CODE
AQUACULTURE_QUANTITY.csv,MEASURE
AQUACULTURE_QUANTITY.csv,PERIOD
AQUACULTURE_QUANTITY.csv,VALUE
AQUACULTURE_QUANTITY.csv,STATUS
AQUACULTURE_VALUE.csv,COUNTRY.UN_CODE
AQUACULTURE_VALUE.csv,SPECIES.ALPHA_3_CODE
AQUACULTURE_VALUE.csv,AREA.CODE
AQUACULTURE_VALUE.csv,ENVIRONMENT.ALPHA_2_CODE
AQUACULTURE_VALUE.csv,MEASURE
AQUACULTURE_VALUE.csv,PERIOD
AQUACULTURE_VALUE.csv,VALUE
AQUACULTURE_VALUE.csv,STATUS
CL_FI_COUNTRY_GROUPS.csv,UN_Code
CL_FI_COUNTRY_GROUPS.csv,Identifier
CL_FI_COUNTRY_GROUPS.csv,ISO2_Code
CL_FI_COUNTRY_GROUPS.csv,ISO3_Code
CL_FI_COUNTRY_GROUPS.csv,Name_En
CL_FI_COUNTRY_GROUPS.csv,Name_Fr
CL_FI_COUNTRY_GROUPS.csv,Name_Es
CL_FI_COUNTRY_GROUPS.csv,Name_Ar
CL_FI_COUNTRY_GROUPS.csv,Name_Cn
CL_FI_COUNTRY_GROUPS.csv,Name_Ru
CL_FI_COUNTRY_GROUPS.csv,Official_Name_En
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Fr
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Es
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Ar
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Cn
CL_FI_COUNTRY_GROUPS.csv,Official_Name_Ru
CL_FI_COUNTRY_GROUPS.csv,Continent_Group_En
CL_FI_COUNTRY_GROUPS.csv,Continent_Group_Fr
